key;en-GROUP;cs-CZ-x-CZ text
pin.lockedPin.notification.title;;Vložení PINu je zamčené
pin.lockedPin.popup.text;;Třikrát za sebou jste zadali špatný PIN<br> Můžete to zkusit znovu za %1
pin.lockedPin.popup.title;;Zadání PINu je blokováno na dalších %1<br><br> 
pinEntry.adultPin;;Zadejte PIN
pinEntry.purchasePinCode;;Zadejte PIN
player.endOfBuffer.description;;Došlo k zahájení automatického nahrávání
player.endOfBuffer.title;;Stream nahrávaný automaticky Překročeno
player.feedback.remaining;;Zbývá
player.notification.cantRecoverMedia.description;;Nepodařilo se nám obnovit vaše média
player.notification.cantRecoverMedia.title;;Chyba přehrávání
popup.gdpr.app.disagree;;Chcete-li tuto akci dokončit, musíte zařízení restartovat.
popups.buttons.continueWithoutRebooting;;Stále žádné kanály
popups.buttons.rebootStb;;Restartovat STB
popups.cecStandBy.message;;Váš set-top box se nyní vypne
popups.deepLinkError.button;;Ok
popups.deepLinkError.message;;Omlouváme se, při provádění této operace došlo k potížím. Zkuste to prosím později.
popups.deepLinkError.title;;Něco se pokazilo
popups.emptyChannelList.description;;Stiskněte tlačítko OK na tlačítku Restartovat STB, abyste restartovali svůj Box a vyřešili problém. <br> Pokud si přejete pokračovat bez kanálů, stiskněte OK na 'Pokračovat bez kanálů'. Chcete-li problém vyřešit později, vypněte a znovu zapněte STB ze zdroje napájení.
popups.emptyChannelList.title;;Nepodařilo se nám načíst úplný seznam kanálů.
popups.error.folderWithIncorrectApp;;popups.error.folderWithIncorrectApp
popups.howToSubscribe;;Tento program si můžete aktivovat přes samoobsluhu Můj Vodafone.
popups.networkValidation.buttons.retry;;Opakovat
popups.networkValidation.misc;;Chyba (č: %1).
popups.networkValidation.title;;Selhání ověření přístupu k síti
popups.noInternetConnection.button;;Otevřít nastavení
popups.noInternetConnection.message;;Zkontrolujte, zda jsou všechny kabely řádně připojeny a zda máte správně nastavený internet. Pokud problém přetrvává, navštivte www.vodafone.cz/vypadky.
popups.noInternetConnection.title;;Nebylo zjištěno žádné připojení k internetu
popups.notEnoughBandwidth.buttons.retry;;Zkusit znovu
popups.notEnoughBandwidth.message;;"K vyřešení tohoto problému, prosím, stiskněte ""zkusit znovu"" a zkontrolujte router, přemístěte jej blíže k set-top boxu nebo z jeho okolí odstraňte cokoli, co by jej mohlo blokovat, pokud chyba přetrvává, navštivte https://www.vodafone.cz/vypadky nebo zavolejte na (800 77 00 77)"
popups.notEnoughBandwidth.title;;Omlouváme se, došlo k potížím s šířkou pásma Wi-FI
popups.powerSaving.buttons.closeThirdAppsAndAdjust;;Zavřít a změnit pohotovostní režim
popups.speedTest.misc;;Probíhá test rychlosti. Chcete ho přerušit?
popups.subscriptionFiltering.buttons.cancel;;Ne
popups.subscriptionFiltering.buttons.showApp;;Zobrazit %1
popups.subscriptionFiltering.message;;Zobrazit obsah %1 v části „Videotéka“ a „Výsledky vyhledávání“?
popups.subscriptionFiltering.title;;Doufáme, že se vám tato aplikace líbí.
popups.update.failed;;Chyba %1: Aktualizace softwaru se nezdařila
popups.update.success;;Aktualizace proběhla v pořádku
programInfo.actionButtons.confirm;;Potvrdit
programInfo.actionButtons.from;;Od
programInfo.actionButtons.listen;;Poslouchat
programInfo.actionButtons.noFolderSubscribe;;Předplatit
programInfo.actionButtons.own;;Vlastní
programInfo.actionButtons.ownAsPPVLabel;;Vlastní %1
programInfo.actionButtons.ownLabel;;Vlastní %1
programInfo.actionButtons.rentAsPPVLabel;;Vypůjčit si %1
programInfo.actionButtons.restartLiveOn;;Sledovat od začátku na
programInfo.actionButtons.resume;;Pokračovat
programInfo.actionButtons.subscribeLabel;;Předplatit
programInfo.actionButtons.subscribePrice;;Přeplatit %1 / měsíc
programInfo.actionButtons.subscribeSelfcare;;Přeplatit nyní
programInfo.actionButtons.subscribedLabel;;Předplaceno
programInfo.actionButtons.trailers;;Upoutávky
programInfo.actionButtons.watchBundle;;Podívat se na všechno
programInfo.actionButtons.watchBundleIn;;Sledovat vše v %1
programInfo.actionButtons.watchCatchupOn;;Sledovat na
programInfo.actionButtons.watchLiveOn;;Sledovat živě na
programInfo.actionButtons.watchOn;;Sledovat na 
programInfo.actionButtons.watchSubscriptionOn;;Sledovat na %1 z
programInfo.actors.label;;Herci
programInfo.badging.availableToRent;;Lze vypůjčit 
programInfo.badging.availableToRentAndExpiration;;%1 den(y) pronájmu k dispozici od %2
programInfo.bundle.partOf;;Část z %1
programInfo.catchupExpiresOn;;Možnost přehrát vyprší za %1
programInfo.director.label;;Režisér
programInfo.newPI.catchupAiredOn;;Vysíláno %1
programInfo.newPI.catchupExpiresOn;;Vyprší za %1hod a %2min
programInfo.newPI.recordedOn;;Nahráno %1
programInfo.newPi.recordingServiceName;;na %1
programInfo.partialRecordingExpiresOn;;Částečná nahrávka vyprší za %1
programInfo.purchase.disclaimer;;Nelze zrušit, poté začíná výpůjčka na 48 hodin. Viz následující účet.
programInfo.recordingExpiresOn;;Nahrávka vyprší za %1
programInfo.series.special;;SPECIÁLNÍ
rails.availableToOwn;;Lze zakoupit
rails.defaultGenreLabel;;Bude stanoveno
rails.relatedfrom;;Více od %1
rails.relatedto;;Podobné jako %1
rails.rollingBuffer.title.dayOfTheMonthDateFormat;;ddd dd mmm
rails.rollingBuffer.title.today;;Více od %1
rails.rollingBuffer.title.today-1;;Včera
rails.rollingBuffer.title.today-2;;před 2 dny
rails.rollingBuffer.title.today-3;;před 3 dny
rails.rollingBuffer.title.today-4;;před 4 dny
rails.rollingBuffer.title.today-5;;před 5 dny
rails.rollingBuffer.title.today-6;;před 6 dny
rails.rollingBuffer.title.today-7;;před 7 dny
rails.subscription;;Předplatné
rails.title.morefrom;;%1
recordingCancel.cancelSeries;;Potvrdit
recordingCancel.subtitle;;Chcete zrušit nahrávání celého seriálu?
recordingCancel.title;;Nahrávání zrušeno
recordings.update.please.wait;;Čekejte, prosím
relatedbyactor;;Více od %1
relatedbydirector;;Režie %1
relatedbygenre;;Další tituly stejného žánru
relatedto;;Souvisí s %1
sdk7.browse.myHome.aboutMyHome;;O Moje TV
sdk7.browse.myHome.breadcrumbTitle;;Moje TV
sdk7.browse.myHome.button.browseOnDemand;;Procházet videotéku
sdk7.browse.myHome.button.openTvGuide;;Otevřít televizní program
sdk7.browse.myHome.contentInfo;;Nahrané televizní pořady, vypůjčené filmy a seriály nebo uložené oblíbené položky - to vše najdete v této oblasti. Neváhejte a projděte si videotéku nebo naše televizní programy, které si můžete nahrát, vypůjčit nebo předplatit.
sdk7.countrySelection.text;;Tento výběr bude použit pro konfiguraci jazyka aplikace.
sdk7.countrySelection.title;;Vyberete prosím svou zemi
sdk7.epg.focusedTile.remaining;;%1 zbývá
sdk7.lockedPin.modal.subtitle;;Zadejte kód PIN pro odemknutí %1
sdk7.lockedPin.modal.title;;Uzamčeno pomocí kódu PIN
sdk7.menu.tab.onTv;;V TV
sdk7.miniProgramInfo.remaining;;Zbývá
sdk7.miniProgramInfo.showMore;;Více informací
sdk7.moreBucket.all;;Všechno
sdk7.pinEntry.helpLabel;;Problémy s pinem ?
sdk7.pinEntry.success;;Jupí, úspěch!
sdk7.pinEntry.success.subtitle;;%1 odemčeno
sdk7.pinEntry.unSuccessful;;Nesprávný PIN
sdk7.pinEntry.unSuccessful.subtitle;;Zkuste prosím znovu odemknout %1
sdk7.pinEntry.verifying;;Ověřování...
sdk7.programInfo.actionButtons.wishlist.add;;Chci vidět
sdk7.programInfo.actionButtons.wishlist.remove;;"Odebrat ze seznamu ""Chci vidět"""
sdk7.programInfo.showInfo;;Zobrazit více informací
sdk7.search.noResults;;Nebyly nalezeny žádné výsledky
sdk7.search.searchResults;;Výsledky vyhledávání
sdk7.serieInfo.episodePrefix;;%1 . epizoda
sdk7.serieInfo.episodeShortPrefix;;
sdk7.serieInfo.seasonShortPrefix;;
sdk7.settings;;Nastavení
sdk7.settings.changePin.confirm;;Potvrdit
sdk7.settings.changePin.confirmNewPin;;Potvrďte svůj nový kód PIN
sdk7.settings.changePin.enterNewPin;;Zadejte nový kód PIN
sdk7.settings.changePin.hideNewPin;;Skrýt nový PIN kód
sdk7.settings.changePin.masterPin;;Hlavní kód PIN
sdk7.settings.changePin.pinChanged.failed;;Změna kódu PIN se nepodařila
sdk7.settings.changePin.pinChanged.successfully;;Váš kód PIN byl změněn
sdk7.settings.changePin.pinChanged.tryAgain;;Stiskněte tlačítko OK a zkuste to znovu
sdk7.settings.changePin.secondaryString;;Z bezpečnostních důvodů nemůže váš PIN obsahovat stejná čísla. Pokud vámi zvolený PIN není přijat, zkuste to prosím později.
sdk7.settings.changePin.showNewPin;;Zobrazit nový PIN kód
sdk7.settings.changePin.title;;Změňte svůj kód PIN
sdk7.settings.hiddenChannels;;Všechny kanály jsou skryté
sdk7.settings.parentalControls.adultContent;;Pro dospělé
sdk7.settings.parentalControls.ageRating.pinModal.event;;Nastavit věkové omezení
sdk7.settings.parentalControls.ageRating.screen.description;;Povolit sledování obsahu bez zadání kódu PIN pro vybranou věkovou kategorii. Výše uvedený obsah bude uzamčen a bude možné jej zobrazit pouze po zadání kódu PIN.
sdk7.settings.parentalControls.ageRating.screen.secondary.description;;Výchozí rodičovský PIN je 0000. Uživatelům doporučujeme, aby si definovali nový, pokud tak ještě neučinili.
sdk7.settings.parentalPurchases.locked;;Kód PIN pro nákup je povolen. Stisknutím tlačítka OK jej zakážete.
sdk7.settings.parentalPurchases.locked.desc;;PIN je nutný k pronájmu, nákupu nebo k předplacení obsahu. V případě, že je vypnut, lze všechny transakce provést rovnou.
sdk7.settings.parentalPurchases.purchasePinState;;Stav kódu PIN pro nákup
sdk7.settings.parentalPurchases.unlocked;;Kód PIN pro nákup je zakázán. Stisknutím tlačítka OK jej povolíte.
sdk7.settings.parentalPurchases.unlocked.desc;;Obsah si můžete rovnou pronajmout, koupit nebo si ho předplatit. Pokud je tato funkce povolena, bude pro všechny transakce vyžadován kód PIN.
sdk7.settings.pinProtection.desc;;Když je PIN ochrana aktivována, vybraný obsah a akce jsou uzamčeny a k odemknutí je třeba zadat PIN. Pokud je PIN ochrana deaktivována, veškerý obsah (včetně obsahu pro dospělé a kanálů) a akce jsou odemčeny a není třeba zadávat PIN.
sdk7.settings.pinProtection.isActivated;;PIN ochrana je aktivována a nastavení rodičovské kontroly je povoleno. Stisknutím tlačítka OK ji deaktivujete.
sdk7.settings.pinProtection.isDeactivated;;PIN ochrana je deaktivována a nastavení rodičovské kontroly je zakázáno. Stisknutím tlačítka OK je aktivujete.
sdk7.settings.pinProtection.pinConfirmationModal.message.activatePin;;Opravdu si přejete aktivovat ochranu PIN?
sdk7.settings.pinProtection.pinConfirmationModal.message.deactivatePin;;Opravdu si přejete deaktivovat ochranu PIN?
sdk7.settings.pinProtection.pinConfirmationModal.title.activatePin;;Aktivace PIN kódu
sdk7.settings.pinProtection.pinConfirmationModal.title.deactivatePin;;Deaktivace PIN kódu
sdk7.settings.pinProtection.pinProtection;;Ochrana PIN
sdk7.settings.premiumChannels.hidden;;V současné době jsou tyto kanály skryté. Stisknutím OK zobrazíte všechny odhlášené prémiové kanály.
sdk7.settings.premiumChannels.intro;;Pro vaše pohodlí můžete skrýt nebo zobrazit všechny prémiové stanice, které nemáte na Vodafone TV předplacené.
sdk7.settings.premiumChannels.visible;;V současné době jsou tyto kanály viditelné. Stisknutím tlačítka OK skryjete všechny neodebírané prémiové kanály.
sdk7.settings.privacy.and.terms;;Ochrana osobních údajů a smluvní podmínky
sdk7.settings.privacy.consent.disagree.text;;"Pokud souhlas neposkytnete, přijdete o ""Doporučení"" a další speciální funkce, které vám pomohou si Vodafone TV co nejvíce užít."
sdk7.settings.privacy.consent.disagree.title;;Jste si jistí?
sdk7.settings.vodafoneTV;;Vodafone TV
sdk7.smartTV.firstInstall.login.error.title;;Problémy s účtem?
sdk7.watch.timestamp.live;;živě
search.recentSearches;;Nedávná vyhledávání
search.recommendations;;Doporučení
searchRecommendations1;;Všechny
searchRecommendations2;;Aktuální živé vysílání
searchRecommendations3;;Poslední díly
serieInfo.episodeShort;;E
serieInfo.seasonPrefix;;%1 . řada
serieInfo.seasonShort;;S
settings.accessibility.audioLanguage.description;;Pohybem nahoru/dolů zvolte jazyk a výběr potvrďte stisknutím tlačítka OK.
settings.accessibility.audioLanguage.description.selected;;Jazyk zvuku je nastaven na %1. Pokud je k dispozici, přehraje se automaticky.
settings.accessibility.help;;Nápověda
settings.accessibility.help.description;;Další informace o usnadnění přístupu k službám Vodafone, <br/> naleznete na stránkách www.vodafone.cz
settings.alexa;;Alexa
settings.alexa.deviceName;;Název zařízení:
settings.alexa.status.finished;;Dokončeno
settings.ast.astDisableVisualScrubber;;Visual Scrubber
settings.ast.astOverrideShakaSettings;;Shaka Settings
settings.ast.astSettings;;Advanced Shaka Troubleshooting
settings.ast.astShowBackgroundProcess;;Proces na pozadí
settings.ast.overrideShakaSettings.items.bufferingGoal;;Buffering goal
settings.ast.overrideShakaSettings.items.defaultBandwidthEstimate;;Default bandwidth estimate
settings.ast.overrideShakaSettings.items.defaultPresentationDelay;;Default presentation delay
settings.ast.overrideShakaSettings.items.rebufferingGoal;;Rebuffering goal
settings.ast.overrideShakaSettings.resetButton;;Reset
settings.ast.overrideShakaSettings.title;;Shaka Settings
settings.audioAndVisual.audioOutput.auto;;Auto
settings.audioAndVisual.audioOutput.resetVolume;;Obnovit úroveň hlasitosti
settings.audioAndVisual.audioOutput.resetVolumeInfo;;Obnovení úrovně hlasitosti nastaví výstupní hlasitost Vodafone TV na plnou úroveň.<br/> Použijte, pokud jste spárovali dálkový ovladač Vodafone s televizorem a máte problém s nízkou úrovní hlasitosti.
settings.audioAndVisual.audioSettings;;Audio
settings.audioAndVisual.audioSettings.hdmi;;HDMI
settings.audioAndVisual.audioSettings.localSpeaker;;Lokální reproduktor
settings.audioAndVisual.soundMode;;Režim zvuku
settings.audioAndVisual.soundMode.automatic;;Automatický
settings.audioAndVisual.soundMode.game;;Hra
settings.audioAndVisual.soundMode.movie;;Film
settings.audioAndVisual.soundMode.music;;Hudba
settings.audioAndVisual.soundMode.music.fidelity;;Kvalita reprodukce zvuku
settings.audioAndVisual.soundMode.music.loud;;Hlasitý zvuk
settings.audioAndVisual.soundMode.music.surround;;Prostorový zvuk
settings.audioAndVisual.soundMode.night;;Noc
settings.audioAndVisual.soundMode.off;;Vypnuto
settings.audioAndVisual.soundMode.sport;;Sport
settings.audioAndVisual.soundMode.voice;;Hlas
settings.audioAndVisual.widescreen;;Rozlišení 4:3
settings.audioAndVisual.widescreen.fullmode;;Režim celé obrazovky
settings.audioAndVisual.widescreen.original;;Originál
settings.audioAndVisual.widescreen.zoom;;Zoom
settings.audioProfile.description;;Výběr zvukového profilu ovlivňuje pouze zvuk při použití reproduktorů Set Top Boxu.
settings.autoDelete;;S dalšími naplánovanými nahrávkami se spustí automatické mazání od nejstarších nahrávek. Odstraňte z úložiště nahrávky, které už nepotřebujete, ať předejdete mazání uloženého obsahu.
settings.automaticRecordings.description;;Jednou z hlavních výhod Vodafone TV je možnost zpětně sledovat pořady z posledních 7 dní. Pořady v sekci „Minulé díly“ můžete spustit přímo přes „Televizní program“ nebo při sledování televize stisknutím šipek nahoru a dolů na dálkovém ovladači.
settings.automaticRecordings.title;;Automatické nahrávky
settings.bluetooth;;Bluetooth
settings.bluetooth.addDevice;;Přidat zařízení
settings.bluetooth.autoConnect;;Automatické připojení
settings.bluetooth.connect;;Připojte zařízení
settings.bluetooth.connected;;Připojeno
settings.bluetooth.connected.description;;"Pohybujte se směrovými šipkami nahoru a dolů pro volbu zařízení. Stiskněte OK k připojení nebo odpojení zvoleného zařízení. Nemůžete své zařízení najít? Běžte do ""Přidat zařízení""."
settings.bluetooth.connecting;;Připojování...
settings.bluetooth.description;;Seznam bluetooth zařízení je prázdný. <br> Nejprve přidejte zařízení, abyste se k němu mohli připojit.
settings.bluetooth.devices;;Moje zařízení
settings.bluetooth.disconnecting;;Odpojování...
settings.bluetooth.otherDevices;;Jiná zařízení
settings.bluetooth.pairing;;Aktivace Bluetooth
settings.bluetooth.pairingPopup.description;;"Zkontrolujte své zařízení pro potvrzení. Poté bude k dispozici v ""Má zařízení"""
settings.bluetooth.pairingPopup.title;;Přidávání 
settings.bluetooth.pairingScreen.description;;Pohybujte se směrovými šipkami nahoru a dolů pro volbu zařízení. Stiskněte OK k připojení nebo odpojení zvoleného zařízení.
settings.bluetooth.refreshButton.text;;Obnovit
settings.bluetooth.removeDevice;;Odstranit zařízení
settings.bluetooth.removeScreen.description;;Vyberte jeden nebo více zařízení stiskem tlačítka OK na vašem ovladači. <br/> Potvrďte svůj výběr pro odstranění ze seznamu zařízení.
settings.bluetooth.screen.description;;Své zařízení můžete připojit pomocí Bluetooth a poslouchat svou hudbu.
settings.bluetooth.screen.title;;Bluetooth připojení
settings.bluetooth.searching;;Vyhledávání jiných zařízení
settings.boxSpace;;Nahrávky
settings.cec.buttons.paired;;Spárováno
settings.cec.buttons.unpaired;;Spárovat nyní
settings.cec.paired.description;;Váš dálkový ovladač Vodafone TV je spárován pro ovládání Napájení, Hlasitost, Ztlumení a vstupní zdroj na televizoru. <br>Pokud si nepřejete ovládat televizor pomocí ovladače Vodafone, zrušte spárování vašeho dálkového ovladače zde
settings.cec.paired.subtitle;;Zrušit spárování TV ovladačů
settings.cec.title;;TV ovladače
settings.cec.unpaired.description;;Spárujte svůj dálkový ovladač Vodafone TV pro ovládání Napájení, Hlasitost a vstupní zdroj na televizoru.
settings.cec.unpaired.subtitle;;Párování TV ovladačů
settings.channelReordering.apply;;Aplikovat
settings.channelReordering.confirm;;Potvrdit
settings.channelReordering.multiSelection;;Vícenásobný výběr
settings.channelReordering.notification.channelAllSubHidden.description;;Nastavte alespoň jeden přihlášený kanál na viditelný. Pro skrytí kanálů bez chyb
settings.channelReordering.notification.channelAllSubHidden.title;;Kanály nelze skrýt
settings.channelReordering.notification.channelHidden.description;;Pro zobrazení kanálu, upravte viditelnost kanálu v Nastavení zařízení
settings.channelReordering.notification.channelHidden.title;;%1 (%2) je schováno
settings.channelReordering.notification.channelHidden.titleForAll;;Všechny kanály jsou skryté
settings.channelReordering.notification.channelUnsubHidden.description;;Předvolba zobrazení/skrytí neodebíraných kanálů byla aktualizována
settings.channelReordering.notification.channelUnsubHidden.title;;Klikněte na zobrazit/skrýt neodebírané kanály
settings.channelReordering.notification.notSortable.description;;Vaše selekce byla vložena na pozici %1
settings.channelReordering.notification.notSortable.title;;Pozice kanálu %1 je chráněna
settings.channelReordering.reset;;Resetovat řazení
settings.channelReordering.reset.popup.description;;Jste si jistí, že chcete resetovat vaše osobní nastavení řazení kanálů?
settings.channelReordering.reset.popup.title;;Resetovat řazení kanálů
settings.channelSorting.allChannels.selected;;Všechny kanály (%1 vybraných)
settings.channelSorting.allChannels.unselected;;Všechny kanály
settings.channelSorting.description;;Pro změnu pořadí programů, vyberte program a přesuňte ho na novou pozici. <br><br>Pohybujte se nahoru/dolů nebo zadejte číslo programu. Stiskněte OK pro zvolení programu.
settings.channelSorting.description.batchSelection;;Posouvejte selekci nahoru/dolů na novou pozici nebo použijte číslice na svém ovladači.<br><br>Stiskněte OK pro vložení na zvolenou pozici.
settings.channelSorting.description.editMode;;Posouvejte kanál šipkami nahoru/dolů nebo použijte číslice na svém ovladači.<br><br>Stiskněte OK pro vložení na zvolenou pozici.
settings.channelSorting.description.multiSelectionMode;;Posouvejte se šipkami nahoru/dolů nebo využijte číslice na svém ovladači pro nalezení kanálu. Stiskněte OK pro vybrání nebo zrušení výběru kanálu.<br><br>Po potvrzení výběru kanálu ho můžete posunout na novou pozici.
settings.channelSorting.subtitle.customisation;;Přizpůsobení
settings.channelSorting.title;;Řazení kanálů
settings.channelVisibility.allChannels.visible;;Všechny kanály
settings.channelVisibility.confirm;;Potvrdit
settings.channelVisibility.description;;Můžete si schovat nechtěné<br>kanály na Vodafone TV.<br><br>Najeďte šipkami nahoru/dolů nebo zadejte číslo kanálu, abyste ho našli. Stiskněte OK pro skrytí nebo zobrazení kanálu.
settings.channelVisibility.hideAllChannels;;Alespoň jeden kanál musí být viditelný.
settings.channelVisibility.hideUnsubscribedChannels;;Schovat nepředplacené kanály
settings.channelVisibility.showUnsubscribedChannels;;Ukázat nepředplacené kanály
settings.channelVisibility.subtitle;;Schovat kanály
settings.channelVisibility.subtitle.customisation;;Přizpůsobení
settings.channelVisibility.title;;Skrýt kanály
settings.cloudRecordings;;Nahrávky v cloudu
settings.cloudsRecordings;;Nahrávky v cloudu
settings.connectedDevices;;Připojená zařízení
settings.connectedDevices.mobilePairing;;Mobilní aplikace
settings.connectedDevices.remote;;Nastavení dálkového ovládání
settings.connectedDevices.tvInput;;Televizní vstup
settings.connectedDevices.voiceAssistants;;Hlasoví asistenti
settings.contentSettings;;Nastavení obsahu
settings.developerMode;;Vývojářský mód
settings.fallbackDeepLink;;Přejít na dynamický DeepLink
settings.frequentlyAskedQuestions;;Časté dotazy
settings.frequentlyAskedQuestions.faqBrowser;;Získejte odpovědi
settings.informations.abrProfile;;Současný ABR profil
settings.informations.button.pvr;;settings.informations.button.pvr
settings.informations.buttons.nagra;;Podmíněný přístup
settings.informations.buttons.nagraStv;;Nagra
settings.informations.buttons.pvr;;PVR
settings.informations.casingSerialNumber;;Sériové číslo
settings.informations.casingSerialNumber.unavailable;;Nedostupné
settings.informations.channelNameDVBC;;Název kabelového kanálu
settings.informations.channelNameDVBIP;;Název kanálu
settings.informations.channelNameFTTH;;Název kanálu
settings.informations.diskConnectState;;Stav připojení disku
settings.informations.diskConnectState.connected;;Připojeno
settings.informations.diskConnectState.disconnected;;Odpojeno
settings.informations.diskStatus;;Stav disku
settings.informations.diskStatus.notReady;;Není připraveno
settings.informations.diskStatus.ready;;Připraveno
settings.informations.freq;;Frekvence
settings.informations.hdcpVersion;;Verze HDCP
settings.informations.imei;;IMEI
settings.informations.kdsn;;KDSN
settings.informations.lcn;;LCN
settings.informations.netflixEsn;;Netflix ESN
settings.informations.nid;;ID sítě
settings.informations.onid;;Původní ID sítě
settings.informations.otaUpdateProgress;;Stav aktualizace OTA
settings.informations.ott;;OTT
settings.informations.packetLoss;;Ztráta paketů
settings.informations.sdkVersion;;Verze sdk
settings.informations.sid;;ID služby
settings.informations.signalQuality;;Kvalita
settings.informations.smartTvVersion;;Verze Smart TV
settings.informations.snr;;SNR
settings.informations.tsid;;ID transportního streamu
settings.informations.updateStatus.failed;;%1: Aktualizace selhala
settings.informations.updateStatus.success;;Úspěch
settings.informations.uri;;URI
settings.informations.wireless.quality;;nastaveni.informace.bezdratove.kvalita
settings.language.audioLanguage;;Jazyk
settings.language.systemLanguage;;Jazyk menu
settings.language.systemLanguage.info;;Pokud je nastavená volba Automaticky, set-top box bude využívat jazyk Smart TV jako svůj jazyk systému, pokud je tento jazyk set-top boxem podporován.
settings.languageAndAccessibility;;Jazyk a titulky
settings.languageAndAccessibility.audioLanguage;;Zvuk
settings.languageAndAccessibility.subtitlesPreference;;Preference titulků
settings.localRecordings;;Lokální nahrávky
settings.localRecordings.error;;Při získávání informací z disku nastal problém
settings.localRecordings.reformatDisk.notification.helpMessage;;Berte prosím na vědomí, že lokální nahrávky budou ztraceny. Daná akce je nevratná.
settings.localRecordings.reformatDisk.notification.offlineSubtitle;;Nelze formátovat disk, pokud jste offline
settings.localRecordings.reformatDisk.notification.offlineTitle;;Nelze formátovat disk, pokud jste offline
settings.localRecordings.reformatDisk.notification.title;;Pro formátování zadejte PIN.
settings.logger;;
settings.logger.loggerIp;;Koncový bod loggeru
settings.logger.loggerModule;;Modul loggeru
settings.logger.loggerType;;Typ Loggeru
settings.loggerIp.description;;Logy budou odeslány na následující IP s následujícími pravidly na port 8080
settings.loggerIp.subtitle;;Zadejte své IP
settings.loggerIp.title;;Logger IP
settings.loggerModule.description;;Aktivováním modulu vám bude umožněno mít více informací ohledně specifického modulu.<br/> Upozorňujeme, že vedlejší účinek může být například zpomalené ovládání.
settings.loggerModule.subtitle;;Aktivujte log, který potřebujete
settings.loggerModule.title;;Log modul aktivován
settings.loggerType.description;;Existují tři možnosti: - Prohlížeč: Přesměrování v ladicím programu prohlížeče <br/> Sagemcom MW: Odesílání všech protokolů do MW (funguje pouze na STB), <br/> - WebSocket: Přesměrování protokolu prostřednictvím WebSocket na IP adresu, kterou můžete nakonfigurovat. <br/>Upozorňujeme, že to může mít vedlejší účinky, jako je zpomalení navigace.
settings.loggerType.subtitle;;Vyberte odkud chcete svůj log získat
settings.loggerType.title;;Aktivace logu
settings.network.channelScan.pleaseWait;;Skenování kanálů, počkejte, prosím...
settings.parentalControls.managePin;;Správa kódu PIN
settings.parentalControls.options;;Přístupnost programu podle věku
settings.parentalControls.purchasePin;;Nákupy
settings.powerSaving.autoStandbyTime.2h;;2 hodiny
settings.powerSaving.autoStandbyTime.4h;;4 hodiny
settings.powerSaving.autoStandbyTime.8h;;8 hodin
settings.powerSaving.quickBoot.description;;Pokud chcete používat Hlasové ovládání nebo přehrávat hudbu přes Bluetooth v pohotovostním režimu, tato volba musí být VYPNUTA. <br><br> Jinak bude tato funkcionalita dostupná pouze chvilku po vypnutí zařízení.
settings.powerSaving.remoteBooking.description;;Pokud chcete v pohotovostním režimu spotřebovávat méně energie, vyberte jako výchozí možnost Úspora energie. Nebudete moci používat funkce, jako je rezervace na dálku (rezervace nahrávek z mobilního telefonu), a zároveň bude zajištěn pomalejší start.
settings.powerSaving.smartStandby.active;;Aktivní
settings.powerSaving.smartStandby.active.description;;Když je váš box a TV vypnutá, můžete přes Bluetooth spárovat a přehrávat hudbu, používat Spotify Connect a Hlasové ovládání.
settings.powerSaving.smartStandby.energySaving;;Úspora energie
settings.powerSaving.smartStandby.energySaving.description;;Chcete-li v pohotovostním režimu využívat méně energie, nastavte si Úsporný režim. Nebudete moci využívat Aktivní/Chytré pohotovostní funkce a spuštění boxu bude pomalejší.
settings.powerSaving.smartStandby.smartStandby;;Inteligentní pohotovostní režim
settings.powerSaving.smartStandby.smartStandby.description;;Když je váš box a TV vypnutá, můžete přes Bluetooth spárovat a přehrávat hudbu, používat Spotify Connect a Hlasové ovládání.<br/> Tato pohotovostní možnost umožňuje všechny hlavní funkce, když je nejvíce potřebujete a šetří energii mezi 1-6 hodin ráno.
settings.privacy;;Soukromí a Doporučení
settings.privacy.consent;;Souhlas s doporučeními
settings.privacy.notice;;Informace ke zpracování osobních údajů
settings.privacyDisclaimer;;Vyloučení odpovědnosti v oblasti ochrany osobních údajů Vodafone TV
settings.privacyDisclaimer.privacy;;Doporučení
settings.privacyDisclaimerPageTitle;;Doporučení
settings.purchase.errorTurnOn;;Chcete-li aktivovat PIN pro objednávání, musíte nejprve aktivovat rodičovský PIN
settings.purchase.turnOff;;Vypnout PIN pro nákupy
settings.purchase.turnOn;;Zapnout PIN pro nákupy
settings.purchase.turnedOff;;Ochrana kódem PIN vypnuta
settings.purchase.turnedOn;;Ochrana kódem PIN zapnuta
settings.purchasePin;;PIN kód pro nákupy
settings.recommendations;;Doporučení
settings.recommendations.off;;VYPNOUT
settings.recommendations.on;;ZAPNOUT
settings.recording.padding.fifteen;;+15 min
settings.recording.padding.five;;+5 min
settings.recording.padding.ten;;+10 min
settings.recording.setPaddings.noPadding;;Bez obalu
settings.recordings.automaticRecordings;;Automatické nahrávky
settings.recordings.boxSpaceLow;;Kapacita je téměř vyčerpaná
settings.recordings.buyMoreStorage;;Úložiště Vodafone TV
settings.recordings.buyStorage;;Úložiště Vodafone TV
settings.recordings.ejectDisk;;Vysunout disk
settings.recordings.filterContent;;Filtrování obsahu
settings.recordings.manage;;Spravování nahrávek
settings.recordings.padding.none;;Žádné bloky
settings.recordings.recommendationsOptOut;;Odmítnutí doporučení
